edades,meses_antiguedad,sexo,Región,Estado,beneficio,cargo,planes,sms cantidad,llamada minutos,datos_gb,Facebook,Instagram,TikTok,WhatsApp,YouTube,X,Netflix,Spotify,Uber,prob_abandono_personal
30,12,Hombre,R9,CDMX,Prepago,757,Plan amigo,8,70,10,1.0987695737979588,0.4810144812573679,1.041937344012915,0.38216491066141806,0.9527110579789482,1.2657222224407025,0.5693788867786139,0.1,0.21542926030150242,0.37
16,0,Hombre,R3,Chihuahua,Prepago,866,Plan amigo,0,53,11,0.8030605562598989,2.0088763249991,0.6513208322942046,0.6400285189697582,0.11374609610845562,0.6280852652776276,0.1,0.16487058355820786,0.1,0.49
17,0,Mujer,R7,Guerrero,Postpago,570,Medio,10,26,20,0.8364323368580386,0.7680810433089638,4.2746961490695465,0.157534566664056,0.4631216164199985,0.47518554104928634,1.1385808320392445,1.350078434259644,0.2660507798587825,0.37
30,12,Hombre,R3,Durango,Prepago,484,Plan amigo,10,16,4,0.4608911124058757,0.1,0.8089942811164667,0.2130386512559087,0.1,0.22252799624117464,0.1,0.1,0.1,0.53
34,12,Hombre,R3,Chihuahua,Prepago,68,Plan amigo,14,20,1,0.1,0.10195376713715779,0.1,0.1,0.1,0.11812782953465518,0.1,0.1,0.1,0.63
29,7,Hombre,R9,Querétaro Sur,Prepago,520,Plan amigo,9,44,7,0.2798004642835966,1.1146865131236185,1.0357245263788035,0.25879983244576604,0.15623879155065049,0.44115382073616055,0.14696580975221182,0.29658242976477434,0.23235475360629781,0.45
27,7,Hombre,R1,Baja california Norte,Prepago,691,Plan amigo,11,59,8,0.10550048411258572,0.9628421382025542,0.28921055746713803,0.16171347570351927,0.16986474772015914,0.8401052680779604,0.42749694427644114,0.1,0.17580726292515564,0.37
26,7,Mujer,R9,Estado de México,Postpago,485,Medio,11,14,10,0.8795607131581168,0.4894365861927692,2.3432102068853604,0.6394804426147952,0.327522580605483,0.1,0.16134317663384148,0.6038694719728561,0.33241986277046703,0.25
16,0,Hombre,R3,Chihuahua,Prepago,709,Plan amigo,14,19,11,1.4278659597078485,0.3168906687625767,2.058649014406644,0.5523457661883046,0.1,0.7206591987561797,0.4194645117669133,0.19420391437019766,0.1698968185638339,0.49
22,7,Mujer,R9,Querétaro Sur,Postpago,985,Premium,13,32,50,4.783134167120792,6.044970613119532,13.012191205956574,1.6221365227560185,0.5679882260921779,5.91524926593112,2.7511801563642333,0.33741562319657237,1.8864320982867073,0.12
24,7,Hombre,R8,Campeche,Prepago,792,Plan amigo,13,25,11,0.26871892962318,0.24372352005957004,1.0629821891763545,0.2938838861022963,0.32922021456343803,0.9635420470015729,0.6486714072365208,0.5787503359104961,0.2413163366445804,0.42
36,12,Hombre,R9,CDMX,Prepago,199,Plan amigo,14,3,2,0.25883969407759283,0.47975766209950815,0.31512920704921127,0.149293298991673,0.33929064510392715,0.1,0.10432300903937447,0.1,0.1,0.53
31,12,Hombre,R9,Hidalgo,Prepago,967,Plan amigo,13,34,19,0.9014139727597444,2.448721856874383,2.8803972884174227,0.5428890627030769,2.1447093794948744,0.8401531789868911,0.5169579238148072,0.4366207144700483,0.2556233060265389,0.37
16,0,Hombre,R2,Sonora,Prepago,696,Plan amigo,2,11,7,0.48996341202494165,0.8853305750274729,0.7252339623250534,0.12644004359961966,0.1,0.20964731843346748,0.2561219074702669,0.4033887066465934,0.1,0.49
31,12,Mujer,R9,Estado de México,Postpago,967,Premium,11,17,50,1.511865005290247,9.192052038151601,3.7959959718158798,4.582717487738539,6.600270953127133,2.6758006374731673,1.2128636325868485,1.333084385247732,0.16864202847159454,0.07
25,7,Mujer,R4,Tamaulipas,Postpago,572,Medio,6,30,20,0.5083144659905636,1.1078433082965424,4.738452122505537,0.9177283393339839,0.1,1.668677021537524,0.5545330000997567,0.7825855785113444,0.2558481540979902,0.3
23,7,Mujer,R4,Coahuila,Postpago,885,Premium,3,26,50,4.187976574808376,11.766516285216673,2.02822567408066,1.3929562066845682,0.528235956006194,1.7918761402066055,1.2603778011830564,2.9888488767404024,2.2048034655202278,0.12
33,12,Mujer,R9,Morelos,Postpago,576,Medio,8,62,20,0.9194426938621503,2.752415722007545,2.8559766557712156,1.0631148340600098,1.6984966845016496,0.7080301597496312,0.7521668187637764,0.42348848562935065,0.3884123864010168,0.25
36,12,Hombre,R7,Puebla,Prepago,253,Plan amigo,2,37,2,0.28057106467876636,0.1,0.1,0.17554118662636853,0.2039308186920712,0.24977689194156033,0.1,0.1,0.1,0.53
35,12,Mujer,R2,Sinaloa,Postpago,841,Premium,4,29,50,7.829897073354059,1.893231980172724,3.1436912818531657,2.1412916462138187,7.873068393527514,6.78929587727421,3.5755547218345898,2.3085934096670884,0.1,0.07
21,7,Hombre,R9,CDMX,Prepago,514,Plan amigo,2,22,8,0.12809600873120322,0.39251141993039884,0.9414510967654117,0.5653245890350205,0.2591459853061771,0.2314036280399464,0.30960953992562945,0.5315738031710926,0.19180145415778532,0.5
26,7,Hombre,R7,Puebla,Prepago,140,Plan amigo,6,67,2,0.1,0.23710051523791195,0.250445145281312,0.1017767737831499,0.1,0.1,0.11932774614233117,0.1,0.1,0.53
31,12,Hombre,R6,San Luis Potosí,Prepago,494,Plan amigo,4,51,5,0.8618785920634053,0.25456361169752634,0.2627515033656102,0.39399060758012694,0.27909810722100736,0.585080615427906,0.11523525025725684,0.1,0.1,0.45
36,12,Hombre,R1,Baja california Norte,Prepago,828,Plan amigo,8,3,10,0.450433209333127,1.8575756961687349,1.4366584605960104,0.8915479905082144,1.435420440206436,0.3389628833059368,0.585706335038743,0.3194981960766824,0.16584516775437996,0.37
24,7,Hombre,R3,Durango,Prepago,656,Plan amigo,6,12,8,0.9716490549951037,1.1562927319865808,1.2038478721507486,0.44410125737699413,0.1,0.227607029454041,0.30823135145591835,0.16411688322035278,0.1,0.42
27,7,Hombre,R7,Veracruz,Prepago,30,Plan amigo,1,49,1,0.1,0.15226354591361502,0.1214016593744663,0.1,0.1,0.1,0.1,0.1,0.1,0.63
19,7,Mujer,R7,Veracruz,Postpago,850,Premium,3,61,50,6.956518607612315,11.284846249903538,12.872390637201939,3.887577060645173,0.8745546766117768,3.4040102220211557,2.277859259163084,2.579050307793498,2.1551200541562543,0.12
18,7,Hombre,R9,CDMX,Prepago,176,Plan amigo,8,64,2,0.21174978012659965,0.4790523492863503,0.23516324790569096,0.14181404598314074,0.1,0.17087056372816414,0.1,0.11518488090165421,0.1,0.58
35,12,Hombre,R6,Querétaro Norte,Prepago,283,Plan amigo,11,20,2,0.1,0.31222258302828343,0.18690876309423893,0.19012702297764197,0.184887826119445,0.1,0.1,0.1,0.1,0.53
39,12,Hombre,R3,Durango,Prepago,397,Plan amigo,13,48,5,0.5670256129858395,1.1229717302803657,0.9291656899591132,0.1,0.8944474981408173,0.5175444927290067,0.1,0.1,0.1,0.45
27,7,Hombre,R7,Puebla,Prepago,610,Plan amigo,1,34,7,0.8557559061811428,0.14593046151401676,0.5969687150914497,0.4548093107197796,0.15465319804324137,0.6696647969223903,0.32049099750010085,0.1,0.3022915810279259,0.37
36,12,Mujer,R2,Sinaloa,Postpago,325,Medio,9,29,6,0.3008480889565268,0.8397594396688025,0.8657309541360012,0.12905452617182728,1.056041106754582,0.4512489629888059,0.1,0.27113603763628347,0.1,0.25
31,12,Hombre,R7,Guerrero,Prepago,23,Plan amigo,8,20,2,0.2589289145217424,0.26727875389053235,0.3653663433660733,0.1,0.11417513073312163,0.14544147820104364,0.1,0.1,0.1,0.63
23,7,Mujer,R2,Sinaloa,Postpago,251,Básico,9,41,4,0.18498631156815423,0.1,0.886209949159948,0.28388259926252946,0.1,0.2847696537109477,0.1,0.18644672732009973,0.1,0.38
31,12,Mujer,R9,Estado de México,Postpago,786,Premium,4,51,40,3.763686988503656,6.412081117292602,7.980298459324574,1.6227075685662666,5.622078164032519,3.5971654729762594,2.683808559542616,0.8418927947816995,0.3499094245261973,0.07
40,0,Hombre,R5,Jalisco,Prepago,355,Plan amigo,1,46,4,0.6441594231224645,0.10812298366182704,0.16758118086171697,0.1,0.6145698908193424,0.1,0.25081344339760653,0.1,0.1,0.65
28,7,Hombre,R6,San Luis Potosí,Prepago,574,Plan amigo,3,56,7,0.44506778272108893,0.4049037187586158,1.3638249554454394,0.41203210390899964,0.13146648455925594,0.1,0.2852024913119431,0.42969504380803714,0.24829369336955948,0.45
41,50,Mujer,R2,Sonora,Postpago,907,Premium,11,36,50,12.619410865374459,2.2842799978274546,4.302217969661042,2.2042833236285913,0.9501339196222995,2.561496609721398,5.67419910620247,0.8142251811074305,0.8480225652975891,0.05
16,0,Mujer,R4,Coahuila,Postpago,349,Medio,14,38,6,0.2606067359974325,0.7231008218974726,1.6283562137303846,0.10397073745181146,0.18091629178803093,0.24375548744986109,0.29568495292817687,0.3998533468729404,0.13411035279207326,0.37
35,12,Mujer,R3,Chihuahua,Postpago,101,Básico,11,20,4,0.2933140395589167,0.7827903017982863,0.4845749963507432,0.2709065389692098,0.46654124723791257,0.12059304341864248,0.24627964884583414,0.1,0.1,0.33
29,7,Mujer,R5,Michocán,Postpago,376,Medio,6,40,6,0.25966068940282,1.082336028079909,0.5982210610692346,0.18308625619926078,0.1,0.550583594705528,0.21108987963771608,0.3848064301977108,0.10182178692204726,0.25
26,7,Hombre,R4,Tamaulipas,Prepago,965,Plan amigo,11,61,15,1.5390569244663963,2.769907294868051,0.9362248747258244,0.5550930842080979,0.27934001715260715,0.7175548150225488,0.33057458061407596,0.7639112531496228,0.1930622192271763,0.37
29,7,Hombre,R1,Baja California Sur,Prepago,464,Plan amigo,12,11,4,0.41976846464700673,0.9017995999660946,0.7130212237190812,0.21414577664149906,0.1,0.41928565282078706,0.1,0.18452575329407822,0.18825690081826857,0.53
16,0,Hombre,R6,Querétaro Norte,Prepago,437,Plan amigo,7,53,4,0.3585421980679414,0.7133397007680822,0.578757972410602,0.1,0.11679735257142755,0.1,0.17294735367087932,0.1,0.16732509839453935,0.65
26,7,Mujer,R8,Chiapas,Postpago,518,Medio,14,37,20,0.6157256643190517,2.6239362995826285,3.7440439451056244,0.8294311987615102,0.2769930648424522,1.2079040234453764,0.42878564434689775,0.6848364344766801,0.38558603993423546,0.25
31,12,Mujer,R4,Tamaulipas,Postpago,785,Premium,2,7,40,4.284896413968015,2.7718004937150518,8.548526458826595,2.051117912921681,1.7847691602255047,2.948710845673656,2.5209238681627273,0.16707777327891693,0.6728804907201307,0.07
40,0,Hombre,R2,Sinaloa,Prepago,952,Plan amigo,13,16,18,1.873054617504838,0.9716578333003864,3.2256585029496954,0.7101371189647963,1.1044573351380944,2.1762004641402153,0.8587598958734375,0.7819561250753783,0.28276910932022753,0.49
24,7,Hombre,R6,Zacatecas,Prepago,44,Plan amigo,0,32,1,0.10916589322607627,0.20336388076215328,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.68
22,7,Hombre,R5,Jalisco,Prepago,215,Plan amigo,3,6,1,0.1,0.2296004723803546,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.58
24,7,Hombre,R9,Estado de México,Prepago,90,Plan amigo,1,41,2,0.24863430127519554,0.1,0.23222960796054626,0.11894081119241753,0.1,0.1,0.1,0.1,0.1,0.68
35,12,Mujer,R3,Chihuahua,Postpago,941,Premium,7,66,50,7.401931226459575,5.36510133892043,0.9866614152426756,0.5801237582320888,7.792449950209609,6.9352374432841435,2.553055370491177,0.9761849787841796,1.1312323536900948,0.07
31,12,Mujer,R6,Zacatecas,Postpago,571,Medio,3,27,20,2.4670183702224717,4.102614300413032,3.3759164898772207,0.8074176538644855,1.848439394858639,0.6923232309414514,0.4884669509923465,0.7612005925127234,0.4325023195636325,0.25
24,7,Mujer,R2,Sinaloa,Postpago,881,Premium,1,30,50,5.3483740442494865,6.009945402554349,2.211129765156465,0.5032359588979171,0.7488669485495945,2.9974016250989126,1.905537742197231,0.2618047918603106,2.376979274644526,0.12
32,12,Hombre,R1,Baja california Norte,Prepago,397,Plan amigo,13,68,5,0.365708662059396,1.0298660234572559,0.6112464393107274,0.1,0.7299550641289982,0.5250037943461566,0.20121852453622055,0.1312598924587667,0.1,0.45
29,7,Hombre,R9,Estado de México,Prepago,11,Plan amigo,5,24,1,0.1,0.22011891488896318,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.63
36,12,Mujer,R1,Baja california Norte,Postpago,399,Medio,5,33,10,0.8185253546497852,0.8319808940403128,0.2418434366710126,0.7308757216075711,1.3734370164863008,0.9974553946658038,0.4805219056163849,0.14118527521105173,0.1,0.25
22,7,Mujer,R4,Coahuila,Postpago,575,Medio,9,25,20,2.3658269868280617,2.5203006399173042,2.1182935319346625,0.27182922983193386,0.1,0.9414614568211971,0.9813055125389732,1.330764719104668,0.867489222693306,0.3
25,7,Hombre,R3,Durango,Prepago,115,Plan amigo,3,50,1,0.1332481121903536,0.2193304768609728,0.1676229304481108,0.1,0.1,0.1,0.1,0.1,0.1,0.58
25,7,Mujer,R6,San Luis Potosí,Postpago,781,Premium,5,22,40,2.1141446839169733,2.0212382046430593,5.875542213211482,2.9645731008302834,0.8628230370527625,4.254943514376389,0.5987536945772677,0.640825772431825,1.1594342092515688,0.12
16,0,Hombre,R9,Estado de México,Prepago,831,Plan amigo,12,40,10,0.7187140436781908,1.6387867172891832,2.424955014874988,0.6450249197913064,0.3405997543492765,0.5260471782558529,0.15557657565898123,0.41821329404497914,0.1,0.49
30,12,Hombre,R1,Baja California Sur,Prepago,486,Plan amigo,14,57,4,0.2421079548788563,0.25026769751577743,0.377388981225166,0.1,0.1,0.391492456889105,0.1832349253642995,0.13973792133812807,0.1,0.53
30,12,Hombre,R3,Chihuahua,Prepago,712,Plan amigo,1,70,11,0.34321657075112466,0.8932183637095926,0.44563821011502136,0.9012335994590638,1.5122779550970067,0.4035375211143295,0.30509579057012914,0.5115478681878047,0.1640008657815461,0.37
28,7,Hombre,R9,CDMX,Prepago,411,Plan amigo,9,3,5,0.5863765613863776,0.3763419589409766,0.3940740882510273,0.33529543610784696,0.12722657247888192,0.4213476403585876,0.17473768291217426,0.2133623231729204,0.18079624118860083,0.45
26,7,Hombre,R7,Puebla,Prepago,739,Plan amigo,11,9,10,0.4588833346268864,0.9502013635195808,2.640582957456154,0.2981503175935317,0.20756001598344445,0.866956199687486,0.5999579030265788,0.340515774764863,0.2237856087279748,0.37
17,0,Hombre,R9,Querétaro Sur,Prepago,565,Plan amigo,1,59,8,0.982751025567079,1.5714615753776748,1.7976099750853884,0.3353376285829429,0.1062748354992004,0.6094225123960243,0.42454803532297514,0.5135187615329361,0.1,0.57
25,7,Mujer,R2,Sonora,Postpago,171,Básico,9,14,4,0.26868111257794974,0.4803908727540795,1.1749292116266035,0.2350201775800745,0.1,0.1,0.14264627586221987,0.1,0.16233343235671913,0.38
25,7,Hombre,R2,Sonora,Prepago,211,Plan amigo,13,7,1,0.11073850798065665,0.11915405181943202,0.14017901827167592,0.1,0.1,0.1,0.1,0.1,0.1,0.58
22,7,Hombre,R9,Estado de México,Prepago,967,Plan amigo,3,52,16,0.5733447782189502,0.769572833288469,0.43661238318076434,0.38694486878759227,0.45460480834562095,0.5581488464253564,0.717276542101009,0.34765176692305155,0.3345456625310414,0.42
27,7,Mujer,R8,Campeche,Postpago,279,Básico,13,44,4,0.5669480470563731,0.2833513112305855,0.5015351025740598,0.11682093979389101,0.1,0.25147257567460957,0.10082670858659251,0.20598564866499686,0.15931294281371705,0.33
31,12,Hombre,R8,Campeche,Prepago,872,Plan amigo,14,14,11,1.1377734723879398,0.255331984023198,1.5309222171861183,0.12499310350863768,1.2710264860109979,1.118348276999568,0.19898983033486958,0.4389737820900887,0.24209137641984554,0.37
43,50,Hombre,R4,Tamaulipas,Prepago,825,Plan amigo,14,20,10,2.476643499518695,0.632583439556298,0.5896321391512884,1.104592967094175,0.8782889867391838,0.49921558046863795,0.1,0.1,0.4654385297898217,0.3
29,7,Mujer,R2,Sonora,Postpago,280,Básico,7,68,4,0.44775422015154026,0.7709235603156551,1.1216300584347418,0.1,0.1,0.4368687643274658,0.1,0.20258322712458574,0.1078589696073141,0.33
30,12,Hombre,R4,Tamaulipas,Prepago,465,Plan amigo,13,19,4,0.10390615084421287,0.31959624109961343,0.4772281553379964,0.3310822818194861,0.5234658650210606,0.37272438759817195,0.15253364081625226,0.1,0.1,0.53
27,7,Hombre,R9,Querétaro Sur,Prepago,471,Plan amigo,6,70,4,0.2583192761827329,0.1,0.31638259597887264,0.15802678667366613,0.1,0.1,0.14794947438966524,0.16695512797334988,0.1,0.53
16,0,Hombre,R8,Tabasco,Prepago,736,Plan amigo,11,64,10,1.3636111425068302,0.38261742484992667,2.5935356234645406,0.1,0.3204464479352487,0.10208610006883007,0.4643747378595849,0.29105622519376995,0.36272112646107124,0.49
28,7,Hombre,R2,Sonora,Prepago,261,Plan amigo,8,43,2,0.1271891112182342,0.1,0.46980374942140385,0.1,0.1,0.1,0.1,0.10677582750634691,0.1,0.53
28,7,Mujer,R6,San Luis Potosí,Postpago,711,Premium,13,36,40,1.5518471594089287,7.441455014108401,9.584100693633735,3.117571469680896,0.6015659084193684,2.588007770548024,0.9734077119752014,0.8830359371364775,1.4738510670753944,0.07
48,50,Mujer,R3,Durango,Postpago,305,Medio,7,47,5,0.5755125830237375,0.4196455312735757,0.2128457986155645,0.4390902863621776,1.1079311012439612,0.2066916971660656,0.3040862538127702,0.1,0.19947197075419848,0.18
26,7,Mujer,R2,Sinaloa,Postpago,734,Premium,4,60,40,0.7098412798653653,1.4971457343128212,1.2246697736246932,1.6565759989830189,1.2059470157515688,1.722612598694057,1.020518810127159,2.6366744672928895,1.6277309740074455,0.07
30,12,Mujer,R6,Guanajuato,Postpago,729,Premium,12,53,40,4.9491233152108025,3.0305618875465714,1.519822516399608,0.3135548204855276,1.1991117199017083,1.956998480922316,1.675211690901684,0.24268814829227728,0.18606008937333032,0.07
28,7,Mujer,R3,Chihuahua,Postpago,758,Premium,1,36,40,1.3574898556074908,6.302559553130423,7.696845748577392,1.9512013179030716,0.4326739147913428,1.9826162166599193,0.3765849645965444,0.8007261029016515,1.7366877658388642,0.07
19,7,Hombre,R1,Baja California Sur,Prepago,347,Plan amigo,14,46,5,0.7063528536048768,0.8053787359171299,1.383552608832788,0.27995482495735863,0.1,0.598187047592389,0.1,0.25336764528554034,0.1,0.5
37,12,Mujer,R6,Aguacalientes,Postpago,888,Premium,4,17,50,3.892641348418465,8.034462869770508,5.119792481021687,1.4424463440114546,3.409347969777927,2.775203345723745,3.463328319147598,1.94889315566853,0.5935746240569281,0.07
34,12,Hombre,R2,Sonora,Prepago,62,Plan amigo,7,52,1,0.1,0.19766760869883493,0.1,0.1,0.1,0.12791879752250745,0.1,0.1,0.1,0.63
34,12,Mujer,R4,Tamaulipas,Postpago,801,Premium,9,34,50,2.9218485451868674,7.169752946459389,5.272497781606892,2.268616796453451,1.5405729520907436,1.4278539184789256,2.998824020221416,2.1443773321607074,0.34284555683148027,0.07
21,7,Mujer,R9,Querétaro Sur,Postpago,931,Premium,8,69,50,1.242454570246448,1.3982667256665189,9.516166592386554,3.084184593000806,0.7463207818613853,4.206184857947581,2.196284683566673,3.3827500654936022,0.3053169487506402,0.12
39,12,Hombre,R8,Campeche,Prepago,226,Plan amigo,11,5,2,0.1,0.1,0.3787751539211197,0.15483161907801546,0.21707973572893788,0.1,0.1,0.1,0.1,0.53
17,0,Hombre,R9,Estado de México,Prepago,773,Plan amigo,11,53,11,0.4870920929438801,0.3557731046815208,2.4707478897081616,0.3195267745316267,0.19359749582781188,0.2452852942982002,0.538369754891061,0.47084116342226323,0.4795013965962204,0.49
