genero,edad,antiguedad,ubicacion,contrato,forma_pago,cargos,sms cantidad,llamada minutos,datos,Whatsapp,Facebook,Instagram,Twitter,TikTok,Uber,Youtube,Netflix,Spotify,Fuerza de ventas,churn
Masculino,70,8,Baja California,Postpago,app,104,11,53,7,0.56,1.15,0.94,0.38,1.17,0.67,1.11,0.07,0.94,28.847,No
Masculino,47,2,Sinaloa,Prepago,tienda,276,0,59,5,0.64,0.96,0.49,0.07,1.13,0.37,0.81,0.08,0.45,61.45,Sí
Femenino,62,46,Guerrero,Postpago,app,741,12,9,52,5.83,12.62,4.86,2.45,8.55,0.76,5.23,4.5,7.2,186.75,No
Femenino,31,1,Sonora,Prepago,tienda,11,10,36,3,0.29,0.58,0.37,0.23,0.47,0.22,0.47,0.03,0.22,5.914,Sí
Masculino,66,38,Colima,Prepago,app,553,4,57,1,0.07,0.19,0.05,0.09,0.17,0.06,0.16,0.02,0.06,119.711,Sí
Masculino,68,31,Nayarit,Postpago,tienda,883,10,54,20,2.53,2.98,2.47,1.38,3.96,0.99,2.8,1.72,1.17,195.95,Sí
Femenino,53,44,Guanajuato,Postpago,tienda,918,4,10,54,4.19,10.28,7.25,2.25,9.89,0.95,8.94,5.22,5.04,223.103,No
Masculino,64,38,Guanajuato,Postpago,tienda,209,8,7,20,2.81,3.32,0.85,0.2,3.68,1.6,3.92,1.01,2.61,59.85,No
Masculino,27,10,Michoacán,Prepago,app,846,3,61,22,2.62,3.46,0.94,0.31,3.67,0.57,3.18,0.87,2.77,185.867,Sí
Masculino,51,63,Quintana Roo,Prepago,app,907,3,62,50,5.53,8.46,2.11,3.76,10.72,1.37,5.7,0.5,2.77,221.226,No
Masculino,21,4,Guanajuato,Prepago,tienda,564,12,60,51,3.43,8.67,2.41,2.73,11.6,3.18,5.75,2.51,5.91,145.557,No
Masculino,17,7,Nayarit,Prepago,tienda,603,6,60,48,3.14,10.9,4.1,0.89,9.96,3.76,8.59,0.48,2.71,152.409,Sí
Femenino,54,25,Colima,Postpago,app,871,4,24,43,4.19,7.62,3.75,4.02,6.21,1.98,6,4.06,5.17,204.95,Sí
Masculino,65,66,Durango,Prepago,tienda,755,2,6,36,3.68,7.38,3.82,1.83,7.73,1.76,3.61,1.95,4.23,182.797,Sí
Masculino,22,20,Baja_California_Sur,Prepago,tienda,309,2,49,26,2.11,5.58,2.02,2.22,5.71,1.44,4.71,0.5,1.72,82.853,No
Femenino,17,63,CDMX,Postpago,app,634,8,60,21,2.25,4.26,0.91,0.37,3.32,2.26,2.37,0.21,1.9,150.905,No
Femenino,30,35,Nuevo León,Prepago,app,233,5,27,44,3.89,7.06,3.88,0.89,7.64,0.84,5.63,4.37,6.44,78.592,Sí
Masculino,57,4,Querétaro,Prepago,tienda,37,5,5,2,0.18,0.3,0.21,0.1,0.35,0.17,0.33,0.14,0.23,9.453,No
Masculino,20,62,Jalisco,Prepago,app,777,12,20,30,1.46,3.98,2.08,1.97,6.56,2.89,5,2.52,3.54,183.7,Sí
Femenino,18,71,Durango,Prepago,tienda,637,9,68,8,0.6,1.98,0.71,0.36,1.45,0.17,0.9,0.65,0.77,146.127,No
Masculino,19,29,Baja California,Postpago,tienda,957,2,56,10,1.16,1.51,1.04,0.39,2.17,0.89,1.46,0.8,0.58,204.55,Sí
Femenino,19,55,CDMX,Prepago,app,413,9,8,46,3.17,7.16,3.79,2.25,9.72,0.75,8.12,3.83,6.6,118.667,Sí
Masculino,69,36,Puebla,Postpago,app,542,6,68,13,1.52,1.97,1.78,0.42,3.16,0.18,2.29,0.13,1.12,124.871,No
Masculino,16,7,CDMX,Postpago,tienda,250,4,52,39,4.96,6.65,2.33,2.2,6.4,0.73,4.75,1.03,2.14,74.707,No
Masculino,50,51,Chihuahua,Prepago,tienda,901,13,3,30,2.05,4.74,3.13,0.95,6.91,2.34,5.65,2,1.66,205.829,No
Masculino,24,7,Zacatecas,Prepago,app,441,13,50,45,2.42,6.82,6.07,4.21,7.64,2.8,7.26,1.58,3.89,118.057,No
Femenino,29,24,Veracruz,Prepago,app,381,0,30,22,1.1,3.7,1.54,0.67,4.21,1.47,2.3,1.77,2,93.528,No
Masculino,44,69,Tabasco,Postpago,tienda,712,5,67,2,0.15,0.44,0.19,0.08,0.43,0.1,0.31,0.13,0.14,157.291,Sí
Femenino,15,14,Sonora,Prepago,app,88,7,52,19,2.74,3.22,1.72,1.67,4.39,1.04,1.85,1.07,1.3,33.7,Sí
Masculino,51,51,San Luis Potosi,Postpago,tienda,701,10,57,0,0,0,0,0,0,0,0,0,0,150.7,No
Masculino,49,48,México,Postpago,tienda,774,11,23,21,2.13,4.29,0.89,0.84,3.59,1.98,3.65,1.52,1.24,175.489,Sí
Femenino,30,62,Hidalgo,Postpago,tienda,626,1,56,21,2.07,3.57,1.64,0.39,3.68,1.7,3.69,1.53,2.73,149.9,No
Masculino,19,33,Sonora,Prepago,tienda,946,0,25,41,2.13,8.12,4.56,2.51,8.42,2.04,6.35,2.29,4.59,220.003,No
Femenino,43,32,Chihuahua,Prepago,tienda,627,9,4,2,0.12,0.36,0.2,0.09,0.38,0.05,0.24,0.18,0.27,131.567,Sí
Femenino,38,42,Oaxaca,Postpago,app,66,2,43,0,0,0,0,0,0,0,0,0,0,21.65,No
Femenino,22,16,Morelos,Prepago,app,35,5,43,9,0.59,1.8,0.82,0.63,1.67,0.71,1.03,0.74,1.01,16.95,Sí
Masculino,68,43,Chihuahua,Prepago,tienda,699,5,62,41,2.79,6.15,3.79,3.89,7.43,0.88,7.84,2.44,5.51,173.866,No
Femenino,23,48,Colima,Prepago,tienda,373,7,68,37,5.01,5.48,3.93,1.29,7.91,2.14,5.11,2.46,3.67,107.4,No
Femenino,53,38,Oaxaca,Postpago,tienda,617,3,36,28,2.68,4.42,3.67,0.28,6.2,2.19,2.91,1.61,2.39,147.205,Sí
Femenino,58,7,San Luis Potosi,Prepago,app,541,13,26,46,5.71,8.97,2.69,1.25,8.7,3.54,6.58,4.13,3.93,138,No
Masculino,35,15,Oaxaca,Postpago,tienda,417,6,59,47,6.99,8.17,4.69,2.53,8.3,2.65,5.11,3.11,4.13,116.404,Sí
Masculino,68,33,Tlaxcala,Prepago,app,453,12,27,35,3.44,6.63,4.15,2.62,7.72,1.74,4.26,2.03,2.39,117.894,No
Femenino,56,37,San Luis Potosi,Postpago,tienda,338,14,18,16,0.89,3.94,1.27,1.38,3.45,0.8,2.97,0.16,1.14,83.65,Sí
Femenino,66,66,San Luis Potosi,Prepago,app,931,12,26,25,2.63,5.05,2.81,1.57,4.68,2.06,2.83,1.98,1.38,212.397,Sí
Femenino,45,19,Tabasco,Postpago,app,644,12,22,38,3.61,7.05,2.99,3.11,8.87,1.72,5.63,1.8,2.7,155.394,Sí
Masculino,54,16,Veracruz,Prepago,app,501,14,26,30,3.34,4.57,3.81,2.61,6.73,0.49,3.91,0.3,2.17,121.279,Sí
Masculino,19,20,Jalisco,Postpago,app,371,13,65,12,0.83,2.48,1.48,0.11,2.62,1.07,2,0.66,0.74,87.647,No
Femenino,51,1,Jalisco,Prepago,tienda,312,8,66,38,3.12,6.48,3.58,2.85,5.77,1.85,4.78,2.67,5.36,88.188,Sí
Masculino,25,60,México,Prepago,app,639,3,39,34,4.77,6.6,1.44,1.22,6.93,0.82,3.43,0.66,3.31,157.704,No
Masculino,30,24,Guerrero,Prepago,app,269,9,50,1,0.07,0.2,0.09,0.1,0.17,0.05,0.14,0.03,0.08,60.479,No
Masculino,54,47,Colima,Postpago,app,885,7,42,30,2.14,5.22,2.63,1.51,4.71,1.62,5.34,2.8,4.03,204.15,No
Masculino,23,20,San Luis Potosi,Prepago,app,272,1,34,31,4.06,5.64,2.81,2.24,5.5,2.58,4.24,0.28,3.66,77.703,No
Masculino,60,59,"Campeche, Coahuila",Prepago,tienda,830,9,67,22,3.12,3.97,2.25,0.22,4.21,1.68,3.07,1.35,2.13,191.4,Sí
Masculino,67,58,Tabasco,Prepago,tienda,661,13,9,13,1.2,1.96,1.14,0.18,2.89,0.46,2.43,0.42,1.35,148.859,Sí
Masculino,21,48,Durango,Prepago,app,162,12,67,43,6.15,7.61,2.69,3.88,7.41,1.64,6.92,3.71,2.98,68.747,Sí
Femenino,61,20,Nuevo León,Postpago,tienda,531,12,44,23,2.63,4.12,2.38,0.87,3.6,0.48,3.61,1.97,1.72,124.714,No
Masculino,24,27,Nuevo León,Prepago,tienda,198,11,44,8,0.85,1.28,0.99,0.36,1.55,0.59,1.09,0.74,0.55,50.65,Sí
Masculino,19,18,Aguascalientes,Prepago,tienda,445,8,32,36,2.38,5.52,4.3,1.9,7.16,1.6,5.59,1.09,3.88,114.126,No
Masculino,20,70,Guanajuato,Postpago,app,128,13,44,38,2.72,7.27,3.89,1.83,6.49,2.38,6.34,0.79,2.83,60.062,Sí
Masculino,58,18,Morelos,Postpago,app,85,9,32,45,4.95,9.34,5.07,3.27,6.11,2.53,6.46,2.18,5.09,48.3,Sí
Masculino,64,24,Puebla,Prepago,tienda,243,14,48,47,3.4,7.97,3.78,2.37,11.2,2.01,6.83,2.3,3.06,81.576,No
Femenino,45,23,Tabasco,Postpago,tienda,963,2,7,25,3.14,4.28,2.14,0.41,5.79,2.43,3.41,0.34,3.06,211.4,Sí
Femenino,52,63,Nayarit,Prepago,tienda,196,1,54,33,2.24,7.73,3.61,1.77,7.3,1.25,3.42,0.39,4.92,71.039,Sí
Femenino,24,26,Zacatecas,Postpago,app,945,6,23,52,6.77,9.99,2.13,1.4,12.07,3.05,8.07,2.76,5.77,225.253,No
Femenino,67,9,Quintana Roo,Postpago,app,142,11,49,10,1.19,1.94,0.81,0.37,1.99,0.76,1.18,0.81,0.94,38.197,Sí
Masculino,18,62,Chihuahua,Prepago,tienda,854,8,37,26,3.61,4.33,1.38,2.36,4.2,0.96,3.52,2.33,2.68,197.361,No
Femenino,39,68,San Luis Potosi,Prepago,app,373,13,47,36,2.05,5.56,1.53,2.25,8.1,1.44,5.64,1.69,1.99,107.025,Sí
Masculino,33,50,Puebla,Prepago,tienda,729,9,39,25,2.12,3.8,2.84,0.98,3.93,1.15,4.5,0.74,3.28,169.752,No
Masculino,21,36,México,Prepago,app,716,9,21,24,1.97,3.78,1.68,1.41,5,1.17,4.12,1.96,2.91,164.05,Sí
Femenino,56,68,Puebla,Prepago,app,348,1,67,14,1.24,2.82,1.82,0.55,2.67,0.35,1.89,1.08,1.58,91.55,No
Masculino,50,16,México,Prepago,app,400,5,50,23,1.98,5.4,1.55,0.33,5.04,0.27,3.01,0.69,1.92,97.857,Sí
Femenino,30,54,México,Postpago,tienda,631,7,50,44,2.86,10.1,3.51,0.49,6.7,4.46,7.59,2.85,5.45,163.203,Sí
Masculino,62,21,Aguascalientes,Prepago,tienda,964,7,28,6,0.53,0.94,0.55,0.13,1.11,0.25,0.76,0.12,0.89,200.734,No
Masculino,45,21,Aguascalientes,Postpago,app,443,2,67,21,1.21,3.16,2.48,0.38,4.66,1.02,3.02,0.39,2.22,106.962,No
Femenino,61,68,Morelos,Postpago,app,736,13,25,18,1.7,4.04,2.13,0.32,3.4,0.92,2.84,0.82,1.82,169.447,No
Femenino,66,43,San Luis Potosi,Postpago,tienda,185,1,55,42,4.12,7.25,5.45,1.85,9.9,1.27,4.76,1.35,4.21,70.848,Sí
Masculino,60,39,Zacatecas,Postpago,tienda,591,12,61,12,1.2,2.45,1.18,0.18,2.78,0.32,2.14,0.44,1.31,134.3,No
Femenino,19,38,México,Prepago,tienda,377,2,41,8,1,1.53,0.47,0.46,1.83,0.74,1.23,0.33,0.41,87.95,No
Masculino,61,1,Colima,Prepago,tienda,397,9,48,19,2.19,3.39,1.61,1.74,3.48,1.17,2.01,0.55,1.98,93.086,No
Masculino,54,42,Chiapas,Postpago,app,768,6,10,27,4.01,4.18,1.17,0.76,5.97,0.49,4.17,0.27,2.57,175.577,Sí
Masculino,31,14,Chiapas,Postpago,tienda,503,9,67,8,0.6,1.29,0.67,0.29,1.24,0.5,0.83,0.63,0.72,110.481,Sí
Masculino,28,49,Chiapas,Prepago,app,777,0,62,53,2.69,7.98,6.61,1.68,9.22,0.82,8.4,3.66,3.14,195.01,Sí
Masculino,65,6,Aguascalientes,Prepago,app,633,3,42,6,0.67,0.98,0.37,0.59,1.45,0.41,0.78,0.21,0.46,133.176,Sí
Masculino,42,21,Baja_California_Sur,Postpago,tienda,948,6,69,53,3.18,12.13,5.25,2.85,8.24,1.27,9.04,5.08,5.1,227.742,No
Masculino,29,55,México,Prepago,app,12,10,24,1,0.13,0.17,0.13,0.01,0.16,0.08,0.13,0.09,0.08,12.444,Sí
Femenino,69,3,México,Prepago,tienda,232,5,13,17,2.13,3.56,1.25,0.15,3.42,1.13,2.75,1.36,1.26,57.703,Sí
Femenino,39,55,CDMX,Postpago,app,865,9,61,26,1.62,5.81,3.45,0.79,5.31,2.09,2.9,0.79,1.4,199.348,No
Masculino,49,6,Chihuahua,Postpago,tienda,170,10,15,32,4.02,6.58,1.54,1.33,7.52,2.2,5.96,0.3,2.54,54.847,No
Femenino,67,63,Jalisco,Prepago,tienda,149,0,20,37,1.89,5.47,3.96,2.63,7.85,2.95,5.07,2.5,4.67,62.447,No
Masculino,43,34,Tamaulipas,Prepago,app,615,1,12,45,3.31,7.19,6.16,0.58,9.22,2.63,8.66,2.74,4.48,155.691,No
Masculino,42,70,Durango,Prepago,tienda,576,14,34,14,0.8,2.33,1.19,1.19,2.12,1.53,2.5,1.03,0.83,135.656,Sí
Femenino,60,53,Guerrero,Postpago,tienda,229,10,49,14,1.19,2.5,1.35,1.1,2.41,0.61,2.67,0.53,0.98,64.402,No
Masculino,68,8,Jalisco,Postpago,tienda,465,1,36,44,5.43,7.23,4.42,3.71,8.14,0.92,4.66,3.68,5.81,122.4,Sí
Masculino,54,34,Chihuahua,Prepago,app,678,7,64,12,0.68,1.95,0.56,0.27,1.96,1.15,1.44,0.9,1.47,150.614,No
Masculino,16,11,Morelos,Prepago,app,290,0,43,27,2.03,4.31,2,0.44,5.27,1.2,2.89,1.18,1.73,76.215,Sí
Femenino,44,3,San Luis Potosi,Prepago,app,225,4,29,12,1.45,1.83,0.73,1,2.17,0.83,2.1,0.59,0.93,53.989,Sí
Femenino,40,14,Zacatecas,Prepago,tienda,609,4,36,41,3.66,8.13,4.58,1.36,8.58,1.86,4.84,3.49,4.5,150.3,Sí
Masculino,60,26,Guerrero,Postpago,tienda,540,10,17,28,1.67,5.56,3.58,1.56,5.6,2.78,2.95,1.12,3.18,129.55,No
Femenino,44,55,Nayarit,Postpago,app,294,9,56,53,5.51,11.94,4.38,1.78,7.71,1.08,8.56,4.64,7.41,101.653,No
Femenino,41,33,Colima,Postpago,tienda,842,7,53,41,3.26,7,4.47,3.11,8.55,2.91,5.9,1.91,3.89,200.6,No
Femenino,18,24,Morelos,Postpago,tienda,746,7,64,14,1.23,2.62,1.1,0.79,2.85,0.43,2.31,0.97,1.71,164.403,Sí
Masculino,40,68,Colima,Prepago,tienda,141,5,29,46,3.02,11.23,2.36,0.84,7.17,1.89,7.56,2.52,2.96,65.515,No
Femenino,43,22,Chiapas,Postpago,app,667,14,19,0,0,0,0,0,0,0,0,0,0,137.65,Sí
Masculino,42,34,San Luis Potosi,Postpago,tienda,430,0,28,54,4.1,10.17,5.15,4.15,8.3,2.3,8.57,4.05,7.21,124.9,Sí
Femenino,15,17,Sinaloa,Postpago,tienda,904,6,28,5,0.55,0.75,0.61,0.33,0.92,0.32,0.61,0.33,0.57,187.747,No
Femenino,44,18,Querétaro,Postpago,app,117,7,18,42,4.88,8.51,3.54,0.64,8.13,2.32,5.71,1.04,2.43,50.76,Sí
Masculino,35,19,Morelos,Prepago,tienda,818,4,7,17,1.01,3.5,1.36,1.18,2.6,0.69,2.75,0.35,1.69,176.439,No
Masculino,54,60,Querétaro,Postpago,app,599,2,18,52,5.71,9.39,3.9,3.6,10.54,5.18,5.76,5.08,2.84,160.9,No
Femenino,20,18,Guerrero,Prepago,tienda,630,8,45,5,0.44,0.92,0.63,0.05,0.92,0.42,0.81,0.12,0.71,133.956,Sí
Masculino,26,35,Jalisco,Prepago,tienda,276,0,39,42,2.64,8.82,4.17,0.42,9.54,4.33,4.95,0.62,5.56,87.315,No
Femenino,20,30,Guanajuato,Postpago,app,879,11,67,51,4,8.42,2.28,0.73,11.67,1.49,6.87,4.42,4.88,212.378,No
Masculino,25,21,Oaxaca,Postpago,tienda,39,14,34,49,6.03,9.65,5.36,0.49,8.49,1.91,8.32,3.57,5.18,42.05,No
Femenino,54,51,Yucatán,Prepago,tienda,715,4,17,53,3.13,11.21,4.87,4.24,11.46,4.5,7.6,0.49,5.5,183.3,No
Femenino,58,11,Sonora,Prepago,app,888,11,9,2,0.23,0.39,0.07,0.12,0.42,0.19,0.23,0.08,0.26,180.897,Sí
Femenino,41,55,Chiapas,Prepago,app,763,5,58,40,4.27,8.03,4.94,0.78,6.09,4.08,4.14,2.88,4.78,187.747,No
Masculino,63,44,Chiapas,Prepago,tienda,367,6,46,30,2.6,5.92,1.2,0.99,5.47,1.87,4.58,1.44,2.06,99.139,Sí
Femenino,23,15,México,Postpago,tienda,660,0,17,19,0.98,4.12,1.85,0.42,3.85,0.61,3.48,0.86,2.7,146.461,No
Femenino,23,69,Aguascalientes,Prepago,app,584,0,31,23,1.15,5.22,1.97,1.11,4.55,2.08,2.93,0.87,3.11,142.497,Sí
Femenino,53,71,Michoacán,Postpago,tienda,83,12,30,25,2.92,5.47,2.68,1.93,3.49,1.79,3.92,0.77,2.02,43.747,No
Masculino,20,20,Yucatán,Prepago,app,942,11,49,47,5.48,9.02,4.13,2.09,8.31,4.15,7.54,1.61,4.67,222.05,No
Masculino,39,26,Jalisco,Prepago,tienda,449,1,23,36,4.43,6.69,3.78,2.45,6.63,2.18,5.59,1.75,2.51,116.453,Sí
Masculino,43,45,Tlaxcala,Postpago,app,989,5,66,39,3.47,8.92,4.85,1.67,8.93,2.23,6.68,0.36,1.89,231.25,No
Masculino,58,49,Tabasco,Postpago,tienda,754,11,25,35,4.47,8.61,3.19,0.39,6.67,0.86,6.13,0.53,3.29,180.142,No
Masculino,26,51,Quintana Roo,Postpago,app,146,7,33,12,1.09,2.52,1.4,0.38,2.14,0.84,1.6,1.14,0.62,45.619,No
Masculino,39,53,Yucatán,Prepago,tienda,642,13,33,46,5.34,8.6,5.4,1.56,9.05,1.38,8.23,3.58,2.86,165.6,No
Femenino,21,12,Aguascalientes,Prepago,app,28,8,58,46,5.98,7.4,5.92,1.02,8.33,1.84,7.91,1.26,6.34,37.9,Sí
Femenino,16,9,México,Prepago,tienda,137,5,19,15,1.95,2.51,1.6,0.38,3.51,1.15,1.63,1.41,0.85,38.697,Sí
Masculino,52,67,Morelos,Prepago,app,246,12,57,41,3.5,9.71,1.69,3.58,8.75,3.22,4.11,3.76,2.67,86.697,No
Masculino,46,49,Nuevo León,Postpago,app,979,14,4,51,7,7.7,2.27,3.64,10.81,1.12,9.22,3.5,5.74,233.95,No
Masculino,33,21,Guerrero,Postpago,app,738,10,8,50,5.94,9.51,3.99,2.81,10.6,0.57,8.85,1.7,4.45,180.676,No
Femenino,27,47,Oaxaca,Prepago,app,141,2,50,9,0.81,1.82,1.1,0.46,1.87,0.1,1.15,0.79,0.91,43.153,No
Masculino,70,30,Guerrero,Postpago,tienda,262,1,21,32,2.78,6.95,1.3,0.32,5.9,2.22,5.01,0.79,4.16,76.379,Sí
Femenino,50,11,Baja_California_Sur,Postpago,tienda,266,0,59,11,0.74,2.3,1.17,0.11,2.06,0.5,2.1,0.46,1.57,64.403,Sí
Masculino,53,51,Veracruz,Postpago,tienda,171,3,3,52,3.84,10.48,4.28,0.52,12.95,3.96,9.53,3.71,2.74,73.203,Sí
Femenino,20,7,Zacatecas,Prepago,app,425,3,11,9,0.53,1.6,0.83,0.54,2.09,0.64,1.27,0.25,1.25,92,No
Femenino,59,62,Sonora,Prepago,app,11,1,39,44,4.43,8.81,2.05,0.44,9.63,3.48,5.13,4.01,6.02,39.85,Sí
Masculino,68,23,Baja_California_Sur,Postpago,app,115,11,36,20,1.53,4.9,0.88,0.96,4.37,2.11,2.63,0.78,1.82,40.244,Sí
Femenino,70,4,Oaxaca,Postpago,app,423,8,12,0,0,0,0,0,0,0,0,0,0,85.8,Sí
Femenino,49,53,CDMX,Prepago,tienda,958,7,32,21,2.5,2.8,2.26,1.4,4.61,1.15,3.27,0.32,2.7,213.753,Sí
Masculino,34,39,Chihuahua,Postpago,app,570,0,66,49,3.21,12.19,4.67,0.6,7.4,1.32,7.96,4.83,2.56,151.272,No
Femenino,50,14,Baja California,Prepago,app,211,11,14,18,1.86,3.28,2.24,1.59,2.85,1.5,2.66,0.58,1.45,55.803,No
Masculino,20,5,Durango,Postpago,tienda,618,3,20,11,1.56,2.72,0.58,0.33,1.7,0.95,1.28,0.91,0.94,131.941,No
Femenino,33,13,Oaxaca,Prepago,app,871,8,58,48,5.45,8.46,4.63,1.85,11.19,3.25,7.34,3.15,2.68,207.85,Sí
Femenino,63,11,Guerrero,Prepago,app,648,3,9,29,3.6,7.02,2.66,0.97,5.5,0.72,3.24,0.44,3.28,148.629,No
Femenino,51,32,Querétaro,Postpago,tienda,214,4,56,19,1.7,3.14,2.48,1.34,3.69,1.14,3.43,0.91,1.18,61.803,Sí
Masculino,27,12,"Campeche, Coahuila",Postpago,tienda,369,10,17,46,2.99,10.25,6.06,3.17,7.84,4.18,5.72,1.37,2.4,103.444,No
Masculino,28,71,Guerrero,Prepago,tienda,986,11,24,36,4.47,5.68,3.63,0.45,8.26,3.06,4.49,0.36,3.32,229.966,Sí
Masculino,62,4,Hidalgo,Prepago,app,357,14,30,29,2.85,4.76,2.97,0.98,4.48,2.89,4.74,2.42,2.92,90.903,Sí
Femenino,20,16,Jalisco,Prepago,tienda,329,14,50,21,2.34,4.15,1.63,0.56,4.59,0.77,3.88,0.21,2.87,83.3,No
Femenino,43,44,Durango,Prepago,tienda,83,11,8,12,0.61,2.5,1.36,0.12,2.42,0.4,1.78,0.67,1.02,30.464,Sí
Masculino,46,30,Colima,Prepago,app,972,6,29,0,0,0,0,0,0,0,0,0,0,200.35,No
Masculino,36,66,Tabasco,Postpago,tienda,713,10,57,35,4.45,7.34,3.27,1.85,7.33,2.23,3.57,1.95,3.02,176.353,Sí
Femenino,68,4,Nuevo León,Prepago,app,208,6,52,50,4.48,11.35,2.23,1.96,9.07,3.86,8.61,4.67,3.76,74.797,Sí
Masculino,17,32,Nayarit,Postpago,app,706,10,62,50,4.06,10.38,5,0.92,10.01,4.69,7.03,0.96,6.95,179.1,Sí
Masculino,25,17,Puebla,Postpago,tienda,296,11,26,48,2.44,7.76,4.03,0.8,11.16,1.94,6.54,0.48,6.45,89.93,No
Femenino,34,55,Aguascalientes,Postpago,tienda,313,1,30,15,1.29,2.33,0.84,0.59,2.45,0.16,1.74,0.44,0.98,80.096,No
Femenino,68,68,Nuevo León,Postpago,tienda,498,7,66,5,0.64,1.03,0.36,0.13,0.93,0.21,0.73,0.3,0.55,116.064,No
Femenino,35,68,CDMX,Prepago,tienda,612,4,68,51,4.73,8.02,3.43,3.17,11.9,3.86,5.22,3.94,6.73,166.6,No
Masculino,68,1,Querétaro,Prepago,app,364,1,25,46,2.37,10.62,2.38,3.2,7.22,3.15,5.51,1.97,6.12,100.762,No
Femenino,64,50,Nuevo León,Postpago,app,453,9,54,7,0.69,1.23,0.33,0.37,1.66,0.33,1.29,0.2,0.37,104.841,Sí
Femenino,27,61,Aguascalientes,Postpago,app,409,0,69,2,0.13,0.41,0.15,0.06,0.34,0.2,0.35,0.09,0.23,95.588,No
Femenino,56,69,CDMX,Postpago,app,496,4,11,9,1.11,1.58,1.14,0.51,1.4,0.4,1.08,0.81,0.98,115.503,No
Femenino,46,34,Sonora,Postpago,app,83,2,50,8,0.69,1.25,0.88,0.51,1.72,0.33,1.43,0.72,0.47,29,Sí
Femenino,19,25,Michoacán,Prepago,app,671,13,52,50,2.58,8.72,2.56,0.63,12.13,1.04,5.78,3.63,5.45,168.306,No
Femenino,24,12,San Luis Potosi,Postpago,app,134,7,4,8,0.62,1.98,0.37,0.65,1.96,0.3,0.86,0.08,0.79,33.483,Sí
Femenino,67,15,Nayarit,Prepago,app,626,1,58,17,2.31,2.61,1.44,0.67,3.97,1.4,2.1,1.07,1.44,140.553,Sí
Masculino,60,67,CDMX,Postpago,tienda,211,8,61,18,1.46,2.72,1.04,1.6,4.4,1.63,3.55,0.18,1.41,66.097,No
Femenino,69,68,Hidalgo,Prepago,tienda,443,7,41,48,4.04,10.3,3.04,2.07,7.56,4.93,6.08,3.39,6.58,129.647,Sí
