genero,edad,antiguedad,ubicacion,contrato,forma_pago,cargos,sms cantidad,llamada minutos,datos,Whatsapp,Facebook,Instagram,Twitter,TikTok,Uber,Youtube,Netflix,Spotify,churn,Fuerza de ventas,churn2
Femenino,36,17,Guerrero,Prepago,tienda,15,13,13,42,2.71,4.46,1.42,0.75,4.74,0.36,2.28,0.3,1.59,Sí,24.383,Sí
Femenino,31,61,Puebla,Postpago,tienda,581,12,40,12,5.29,8.73,2.64,1.27,6.32,3.19,4.87,2.1,2.07,No,141.894,No
Femenino,27,40,Aguascalientes,Postpago,app,707,5,54,45,4.39,9.37,2.27,1.76,8.66,1.03,5.89,3.34,3.44,Sí,175.645,Sí
Femenino,27,28,Puebla,Prepago,tienda,270,8,13,40,5.72,9.21,4.86,1.5,7.98,4.62,6.14,4.17,5.8,Sí,85.85,Sí
Masculino,50,20,"Campeche, Coahuila",Prepago,app,315,13,38,5,2.01,5.27,1.68,3.23,6.74,3.21,4.33,1.44,3.68,Sí,78.877,Sí
Femenino,44,26,Baja California Sur,Postpago,tienda,315,4,35,51,4.39,6.82,1.55,0.32,6.38,2.64,5.73,0.58,4.59,Sí,93.85,Sí
Masculino,64,23,Michoacán,Postpago,app,458,3,3,36,6.35,11.67,4.35,0.88,9.45,2.12,5.53,0.85,6.79,No,120.397,No
Femenino,61,53,Morelos,Postpago,tienda,690,1,13,47,2.38,3.33,2,1.15,2.93,1.49,2.78,0.4,2.53,Sí,166.397,Sí
Femenino,53,48,Guerrero,Prepago,app,826,2,24,17,1.96,5.59,2.05,1.8,4.18,1.29,3.87,1.91,2.33,Sí,186.194,Sí
Femenino,18,70,Oaxaca,Postpago,app,857,8,17,41,4.03,8.97,3.01,3.35,8.27,2.94,6.62,2.72,3.09,No,207.95,No
Femenino,66,26,Sinaloa,Prepago,tienda,517,2,56,47,1.68,2.78,1.1,1.16,2.68,0.94,1.78,0.23,0.66,No,128.103,No
Femenino,25,51,Guerrero,Prepago,app,66,12,9,25,2.26,7.27,2.42,0.77,9.75,4.33,8.29,2.19,5.73,No,41.703,No
Femenino,56,7,Nayarit,Prepago,app,924,11,25,20,3.25,5.03,1.22,0.79,3.76,1.4,3.22,1.98,3.23,No,200.264,No
Masculino,40,58,CDMX,Postpago,app,970,5,49,34,4.1,8.37,4.51,1.36,7.34,1.17,7.08,3.4,3.68,Sí,227.653,Sí
Masculino,44,54,"Campeche, Coahuila",Prepago,app,763,2,13,53,2.9,6.75,3.13,0.29,4.79,2.3,5.2,0.94,1.83,No,185.689,No
Femenino,70,46,Colima,Postpago,tienda,140,6,24,5,5.55,6.76,4.74,0.86,6.06,1.76,5.71,2.96,3.6,No,49,No
Femenino,59,8,Tlaxcala,Postpago,app,545,8,40,36,4.94,9.75,5.11,0.47,9.38,0.84,4.87,2.09,3.96,No,135.423,No
Femenino,15,34,Colima,Prepago,app,809,11,11,49,2.44,3.5,2.26,1.34,4.13,0.95,2.05,0.69,1.64,Sí,187.85,Sí
Masculino,57,36,"Campeche, Coahuila",Postpago,app,255,11,63,46,2.12,3.48,1.82,1.71,4.08,1.95,3,0.7,2.14,Sí,79.65,Sí
Femenino,19,39,Michoacán,Prepago,tienda,417,12,52,36,1.34,2.7,1.14,0.49,2.62,0.64,1.67,0.56,0.84,No,106.25,No
Masculino,17,67,Durango,Postpago,tienda,119,4,29,19,3.58,10.19,2.8,2.03,9.48,4.79,8.96,4.13,6.03,Sí,56.597,Sí
Femenino,23,61,Quintana Roo,Postpago,app,156,1,64,8,1.19,1.94,0.96,1.1,2.2,0.9,1.49,0.16,1.3,No,49.322,No
Masculino,44,49,Puebla,Postpago,app,508,5,55,1,0.69,1.07,0.61,0.05,0.83,0.28,0.8,0.21,0.46,Sí,113.5,Sí
Femenino,20,4,Sonora,Prepago,tienda,555,6,12,10,2.03,8.52,4.42,0.74,5.82,3.34,5.8,3.36,3.97,Sí,126.6,Sí
Masculino,35,61,Oaxaca,Postpago,app,670,2,18,19,3.09,7.37,3.52,2.04,6.61,2.68,6.23,0.34,4.13,No,160.553,No
Femenino,57,48,Hidalgo,Prepago,app,909,12,14,33,5.25,7.66,3.4,1.72,11.16,5.39,8.24,3.38,4.24,No,214.732,No
Masculino,57,54,CDMX,Prepago,tienda,759,11,63,42,3.53,3.71,1.46,2.28,5.14,2.34,3.51,0.54,1.26,Sí,182.781,Sí
Masculino,39,62,Nuevo León,Postpago,app,701,3,67,40,1.67,4.23,1.73,1.64,5.7,0.48,3.62,1.36,2.59,No,171.756,No
Femenino,47,16,Baja California Sur,Prepago,app,145,6,13,35,0.51,0.99,0.38,0.26,1.37,0.45,0.71,0.11,0.46,No,44.122,No
Masculino,42,28,Chiapas,Postpago,tienda,96,1,4,38,0.45,1.57,0.92,0.66,2.11,0.61,1.56,0.26,0.86,No,37.7,No
Femenino,65,70,San Luis Potosi,Postpago,app,285,12,55,2,5.72,9.28,3.92,0.42,6.64,3.05,7.93,0.57,5.47,No,83.75,No
Masculino,16,46,Oaxaca,Postpago,app,176,6,64,38,0.17,0.65,0.42,0.13,0.73,0.11,0.48,0.09,0.15,No,57.579,No
Femenino,63,30,Morelos,Postpago,tienda,238,6,67,35,2.38,4.68,2.19,1.81,4.23,1.57,3.74,0.93,2.48,Sí,73.153,Sí
Masculino,53,5,"Campeche, Coahuila",Postpago,tienda,321,0,15,46,2.9,7.57,2.19,0.32,7.87,0.61,4.33,1.14,2.48,Sí,88.323,Sí
Masculino,56,2,Veracruz,Postpago,app,233,12,18,19,0.24,0.33,0.23,0.07,0.36,0.14,0.33,0.09,0.21,No,54.1,No
Masculino,47,50,Yucatán,Prepago,app,684,13,14,9,3.19,10.17,3.51,2.36,10.33,0.65,5.91,1.42,7.46,Sí,161.2,Sí
Femenino,30,59,"Campeche, Coahuila",Postpago,tienda,296,4,42,49,0.72,2.88,0.64,0.12,2.67,0.16,1.3,0.51,1.55,No,88.015,No
Femenino,46,27,Tlaxcala,Postpago,tienda,48,1,15,38,5.02,8.71,3.18,0.4,8.67,1.14,5.46,3.03,3.31,Sí,37.476,Sí
Femenino,39,44,Hidalgo,Prepago,tienda,126,5,51,28,3.12,5.15,2.1,1.59,3.74,1.21,2.81,0.95,3.33,No,49.95,No
Masculino,70,2,Nuevo León,Prepago,app,273,5,70,22,0,0,0,0,0,0,0,0,0,Sí,65,Sí
Femenino,67,15,Durango,Prepago,app,208,4,66,48,1.72,5.56,3.57,1.62,6.87,0.72,3.18,2.73,4.18,Sí,70.595,Sí
Femenino,67,62,Quintana Roo,Postpago,tienda,229,5,53,46,1.86,5.81,2.36,1.79,5.93,1.42,3.33,0.28,3.52,Sí,79.44,Sí
Masculino,31,51,Aguascalientes,Prepago,tienda,571,10,47,14,1.88,4.79,2.14,0.25,3.22,1.4,2.92,0.69,2.72,Sí,134.403,Sí
Femenino,68,28,Guanajuato,Postpago,app,788,13,64,24,0.26,0.39,0.25,0.11,0.41,0.12,0.3,0.06,0.11,Sí,172.803,Sí
Masculino,64,39,Zacatecas,Postpago,app,536,0,31,42,5.98,8.78,2.95,3.95,8.92,0.84,8.31,3.73,3.46,Sí,141.276,Sí
Masculino,58,44,Chihuahua,Postpago,tienda,659,5,25,0,2.45,6.84,4.98,2.43,8.62,4.2,4.96,2.22,4.3,Sí,151.95,Sí
Femenino,51,38,Baja California,Postpago,app,776,11,21,47,2.87,4.44,1.74,1.94,4.67,0.27,4.39,0.84,1.64,No,182.89,No
Masculino,68,38,Veracruz,Prepago,app,547,6,7,43,5.18,8.09,5.86,4.03,9.79,3.22,5.64,3.79,5.39,Sí,143.647,Sí
Femenino,30,51,Hidalgo,Prepago,tienda,309,14,26,2,1.18,2.82,1.26,0.3,3.24,0.59,1.41,0.87,0.65,Sí,75.046,Sí
Femenino,18,25,Durango,Prepago,app,493,10,12,25,1.28,3.46,1.96,0.16,3.18,1.03,2.54,0.33,1.92,No,115.208,No
Femenino,25,70,Nayarit,Postpago,app,820,6,33,40,6.15,6.95,3.63,3.5,6.95,4.11,7.51,2.71,6.48,Sí,202.547,Sí
Masculino,42,16,Hidalgo,Postpago,app,801,1,67,16,3.4,4,3.27,1.45,5.57,2.75,3.36,0.33,3.88,No,179.153,No
Femenino,65,30,Tamaulipas,Postpago,tienda,783,13,7,19,1.8,3.13,2.23,0.41,3.51,1.45,3.03,0.59,1.84,No,172.547,No
Masculino,42,6,Guanajuato,Postpago,tienda,715,10,63,54,5.52,6.01,3.4,0.37,8.52,3.07,4.45,3.46,2.11,Sí,174.323,Sí
Masculino,33,23,México,Prepago,tienda,934,11,68,17,2.81,3.98,2.35,1.33,3.78,2.1,3.13,1.66,1.85,No,205.647,No
Femenino,15,10,Veracruz,Postpago,tienda,414,12,17,21,3.06,9.95,5.18,2.02,10.23,1.64,7.4,4.13,7.4,No,106.753,No
Femenino,28,26,Morelos,Postpago,tienda,650,11,7,41,3.14,6,1.58,0.91,7.34,3.73,5.11,2.59,5.06,Sí,157.188,Sí
Masculino,42,31,Sinaloa,Prepago,tienda,680,0,22,42,4,10.25,2.95,3.88,9.59,0.77,5.14,2.84,4.57,No,167.547,No
Masculino,54,12,Baja California Sur,Postpago,tienda,154,7,66,30,2.73,7.11,3.94,0.43,7.64,2.13,7.68,0.43,4.72,Sí,55.943,Sí
Femenino,26,25,Oaxaca,Prepago,app,823,13,31,8,1.88,6.34,2.28,1.78,5.28,0.37,3.53,2.78,4.27,Sí,180.853,Sí
Masculino,36,3,Querétaro,Postpago,app,154,10,33,30,2.33,9.9,4.15,0.62,7.2,3.8,5.97,0.79,5.12,No,53.864,No
Femenino,64,38,Chiapas,Prepago,tienda,176,13,15,29,1.6,3.1,1.82,0.17,2.89,1.43,2.21,1.59,1.55,No,55.258,No
Femenino,57,7,Nuevo León,Postpago,tienda,211,4,67,31,0.48,0.99,0.43,0.38,1.07,0.08,0.95,0.06,0.49,Sí,57.379,Sí
Masculino,49,28,Guanajuato,Postpago,tienda,361,1,24,2,0.25,0.36,0.15,0.14,0.41,0.09,0.33,0.02,0.15,Sí,78.77,Sí
Femenino,22,69,Baja California,Prepago,app,343,14,66,50,3.32,8.13,3.3,2.39,10.06,2.45,8.45,3.18,4.3,Sí,110.924,Sí
Femenino,70,18,Sinaloa,Prepago,app,617,7,53,44,2.97,6.19,1.32,1.03,7.09,0.54,4.4,1.48,2.38,No,150.17,No
Femenino,25,32,Tamaulipas,Postpago,tienda,21,11,38,46,0.21,0.52,0.4,0.13,0.47,0.27,0.42,0.13,0.33,Sí,25.564,Sí
Femenino,26,7,Baja California Sur,Postpago,tienda,681,0,16,48,3.13,8.6,6.42,3.58,7.7,1.7,7.78,3.58,6.51,Sí,167.15,Sí
Masculino,22,8,Oaxaca,Postpago,app,828,9,41,2,3.09,4.89,2.6,0.3,4.92,2.4,3.79,0.74,1.89,No,176.836,No
Masculino,28,17,Guerrero,Prepago,app,277,10,49,11,4.74,8.23,4.05,0.38,7.54,2.7,5.26,2.42,4.68,No,75.7,No
Femenino,44,50,Morelos,Prepago,app,272,8,22,1,3.83,8.6,1.97,3.23,7.96,4.03,4.41,2.88,4.1,No,75.603,No
Femenino,23,46,Veracruz,Prepago,tienda,878,3,33,33,3.07,4.62,2.34,1.62,4.84,2.01,3.17,2.01,1.31,Sí,201.547,Sí
Femenino,21,19,Yucatán,Postpago,app,204,9,41,25,0.25,0.43,0.18,0.05,0.38,0.07,0.25,0.15,0.25,No,53.803,No
Femenino,45,36,Jalisco,Postpago,tienda,559,3,27,24,1.33,3.57,1.96,1.69,4.3,1.17,1.94,1.68,2.34,Sí,131.744,Sí
Femenino,44,61,Baja California Sur,Prepago,tienda,951,5,6,11,1.39,2.95,1.7,1.58,3.14,0.4,2.6,0.87,0.95,Sí,207.624,Sí
